utterance_id,audio_path,sample_rate_hz,source_rate_group,gender,accent,district,state,other
01-00003-01,Audio/01-00003-01.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00005-01,Audio/01-00005-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00008-02,Audio/01-00008-02.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00009-01,Audio/01-00009-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00014-02,Audio/01-00014-02.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00017-02,Audio/01-00017-02.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00018-01,Audio/01-00018-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00022-01,Audio/01-00022-01.mp3,8000,native_8khz,Male,unknown,unknown,unknown,inaudible
01-00041-03,Audio/01-00041-03.mp3,8000,native_8khz,Male,unknown,unknown,unknown,inaudible
01-00044-03,Audio/01-00044-03.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,unknown
01-00046-02,Audio/01-00046-02.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00051-03,Audio/01-00051-03.mp3,8000,native_8khz,Male,unknown,unknown,unknown,inaudible
01-00057-03,Audio/01-00057-03.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00086-03,Audio/01-00086-03.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,unknown
01-00092-01,Audio/01-00092-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,"audio_break,inaudible"
01-00102-02,Audio/01-00102-02.mp3,8000,native_8khz,Male,unknown,unknown,Madhya_pradesh,audio_jump
01-00130-03,Audio/01-00130-03.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00131-02,Audio/01-00131-02.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00136-03,Audio/01-00136-03.mp3,8000,native_8khz,unknown,unknown,unknown,unknown,inaudible
01-00145-02,Audio/01-00145-02.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00155-01,Audio/01-00155-01.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00162-02,Audio/01-00162-02.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00168-01,Audio/01-00168-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00181-02,Audio/01-00181-02.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00188-03,Audio/01-00188-03.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00199-01,Audio/01-00199-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,unknown
01-00207-03,Audio/01-00207-03.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00229-02,Audio/01-00229-02.mp3,8000,native_8khz,unknown,unknown,unknown,unknown,inaudible
01-00237-03,Audio/01-00237-03.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00244-01,Audio/01-00244-01.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00253-03,Audio/01-00253-03.mp3,8000,native_8khz,unknown,unknown,unknown,unknown,inaudible
01-00255-01,Audio/01-00255-01.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00255-03,Audio/01-00255-03.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00277-02,Audio/01-00277-02.mp3,8000,native_8khz,unknown,unknown,unknown,unknown,unknown
01-00283-01,Audio/01-00283-01.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00284-03,Audio/01-00284-03.mp3,8000,native_8khz,Male,unknown,unknown,unknown,not_clear
01-00293-03,Audio/01-00293-03.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00318-02,Audio/01-00318-02.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,unknown
01-00376-01,Audio/01-00376-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00419-03,Audio/01-00419-03.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,unknown
01-00559-02,Audio/01-00559-02.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,unknown
01-00566-03,Audio/01-00566-03.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00568-01,Audio/01-00568-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00575-01,Audio/01-00575-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00583-01,Audio/01-00583-01.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00595-02,Audio/01-00595-02.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,"audio_break,audio_jump,inaudible"
01-00596-01,Audio/01-00596-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00597-01,Audio/01-00597-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00600-02,Audio/01-00600-02.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,unknown
01-00601-03,Audio/01-00601-03.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00608-01,Audio/01-00608-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00611-02,Audio/01-00611-02.mp3,8000,native_8khz,unknown,unknown,unknown,unknown,unknown
01-00614-01,Audio/01-00614-01.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00614-03,Audio/01-00614-03.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00622-02,Audio/01-00622-02.mp3,8000,native_8khz,Female,Bihari,unknown,Bihar,unknown
01-00627-03,Audio/01-00627-03.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,unknown
01-00632-01,Audio/01-00632-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,unknown
01-00640-02,Audio/01-00640-02.mp3,8000,native_8khz,unknown,unknown,unknown,unknown,inaudible
01-00664-01,Audio/01-00664-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,unknown
01-00670-01,Audio/01-00670-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,unknown
01-00670-02,Audio/01-00670-02.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,unknown
01-00675-03,Audio/01-00675-03.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00697-02,Audio/01-00697-02.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00697-03,Audio/01-00697-03.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00698-01,Audio/01-00698-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,unknown
01-00711-01,Audio/01-00711-01.mp3,8000,native_8khz,Male,unknown,unknown,unknown,inaudible
01-00726-02,Audio/01-00726-02.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,unknown
01-00748-01,Audio/01-00748-01.mp3,8000,native_8khz,unknown,unknown,unknown,unknown,unknown
01-00753-01,Audio/01-00753-01.mp3,8000,native_8khz,Female,Bihari,unknown,Bihar,unknown
01-00753-03,Audio/01-00753-03.mp3,8000,native_8khz,Male,unknown,unknown,unknown,audio_jump
01-00766-01,Audio/01-00766-01.mp3,8000,native_8khz,Male,unknown,unknown,unknown,inaudible
01-00775-02,Audio/01-00775-02.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00784-03,Audio/01-00784-03.mp3,8000,native_8khz,Male,unknown,unknown,unknown,inaudible
01-00787-01,Audio/01-00787-01.mp3,8000,native_8khz,Male,unknown,unknown,unknown,unknown
01-00797-01,Audio/01-00797-01.mp3,8000,native_8khz,unknown,unknown,unknown,unknown,unknown
01-00797-03,Audio/01-00797-03.mp3,8000,native_8khz,unknown,unknown,unknown,unknown,unknown
01-00799-03,Audio/01-00799-03.mp3,8000,native_8khz,unknown,unknown,unknown,unknown,unknown
01-00814-03,Audio/01-00814-03.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,unknown
01-00827-01,Audio/01-00827-01.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,inaudible
01-00827-02,Audio/01-00827-02.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,"audio_jump,inaudible"
01-00840-03,Audio/01-00840-03.mp3,8000,native_8khz,unknown,unknown,unknown,unknown,unknown
01-00842-01,Audio/01-00842-01.mp3,8000,native_8khz,unknown,unknown,unknown,unknown,unknown
01-00842-02,Audio/01-00842-02.mp3,8000,native_8khz,unknown,unknown,unknown,unknown,unknown
01-00845-02,Audio/01-00845-02.mp3,8000,native_8khz,Male,Bihari,unknown,Bihar,unknown
01-00855-01,Audio/01-00855-01.mp3,8000,native_8khz,Male,unknown,unknown,unknown,audio_jump
