utt_id,audio,text,duration_s
01-03325-03,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-03325-03.mp3,पेयजल स्वक्षता के लिए ग्राम एवं नगर विकास उप पीने को साफ़ पानी नहीं मिलना और गन्दगी से नए बीमारियों को जन्म लेना बड़ा कारण है इस उपमिशन में काम किया तो मोहल्ले टॉले और गाँव में,11.736
01-09774-02,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-09774-02.mp3,हम अभी जा के मुन्नी के पापा के को ये सब फ़ोन करके बटा देते है आपका बहुत बहुत धन्यवाद मैडम मेरा तो यहीं काम है चलते है सिर प्रणाम,11.736
01-10655-01,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-10655-01.mp3,संस्थाओं में शिक्षण संस्थाओ में झंडो तोलन काफी हर्षो उलास के साथ किया गया धन्यवाद,5.184
02-12785-01,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/02-12785-01.mp3,संतरे के छिलके और बिस्कुट के खाली लिफाफे टूटे खिलौने और पेंसिल की छीलन प्लास्टिक की टेढ़ी मेढ़ी बोतले और रंग बिरंगी थैलियाँ और इन सब आरोप भिनभिनाती मक्खियों के झुंड,11.664
01-05982-03,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-05982-03.mp3,जमुई में इसकी स्वीकृति दे दी है जमुई में चिराग पासवान प्रयासरत है,6.048
01-10787-02,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-10787-02.mp3,तो श्रोताओ ये थी अबतक की सुर्खिया और सुर्ख़ियों के लिए इंतेज़ार करे तबतक के लिए,6.168
01-08286-01,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-08286-01.mp3,शौचालय बनाने के बढ़ आपको अपने घर ऐसी पैसा लगना पड़ेगा उसके बढ़ आपको पैसा मिलेगा लेकिन मिलेगा,9.648
02-14054-01,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/02-14054-01.mp3,सहयोग से शहर को स्वच्छ स्वास्थ्य और समृध बना या जाए गा इस लिए सभी वार्डों में दूर तो दूर कलेक्शन का कम,8.281
01-04666-03,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-04666-03.mp3,धन्यवाद में बीरबल धनबाद ऐसी,2.952
01-02618-02,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-02618-02.mp3,मध्य प्रदेश मोबाइल वाणी की कार्यक्रम को और भी साझा देते है और भी रमणीय बना देते है इसलिए मई बहुत धन्यवाद देता हूँ और,10.584
01-07319-03,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-07319-03.mp3,ऐसी किए गए सपने बैठक में बेटा बाप ऐसी दूर श्रवण कुमार राम भारत का ज़माना रहा नहीं चकाचौंध की दुनिया ऐसी जब नालायक बेटे को ठोकर लगती है,9.504
01-07809-01,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-07809-01.mp3,कि फ़ोन पर सुशील कुमार ने सभी को धमकी देकर पुस्तक महल चास से किताबों की ख़रीदारी के लिए बाध्य किया नियमानुसार सभी छात्राओं को एन सी ई आर टी की पुस्तकें उपलब्ध करवानी थी परन्तु ऐरे गेरे प्रकाशन की,14.616
01-05442-01,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-05442-01.mp3,आज बिहार सरकार कह रही है रिश्वत लेने वाले को आठ महीने के अन्दर साझा दी जाए,9.864
02-13455-01,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/02-13455-01.mp3,उस समाचार जो है की आप को कम ऐसी कम दिन में तीन बार ऐसी लेकर कम ऐसी कम छेह बार करदे तो बहुत ऐसे खबरें पेश किया जाए जिससे की,11.304
01-05257-03,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-05257-03.mp3,उन्हें भी आज अपना वृद्धा पेंशन तीन ऐसी छह छेह सालके अन्दर अपना हो गए है,11.304
01-07921-03,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-07921-03.mp3,#incomplete को देना हैं मगर एक महिना समय पार करके लाभार्थी को राशन मिल रहा है और लाभार्थी को,6.84
