rank,audio_id,audio_path,slice,reference_text,primary_hypothesis,primary_wer,primary_cer,comparison_hypothesis,comparison_wer,comparison_cer,primary_minus_comparison_wer,classification,speech_understandable,reference_quality,audio_notes,reviewer_notes,review_audio_path
1,02-14479-01,/content/CallWhisper-8k/datasets/GV_Dev_5h/Audio/02-14479-01.mp3,gramvaani_dev_100_8khz,मोबाइल वाणी को बताया की सिकंदरा प्रखण्ड अंतर्गत आँगनबाड़ी सँख्या एक सौ उन्नतीस की गुड़िया देवी को बंद पोषाहार की राशि चालू कराने के लिए सी डी पी ओ ने चालीस हजार रूपये माँगा था,मोबाइल वाणी को बताया की विकंदरा प्रखंड अंत को ध्यान लो मेडिशियल सबसे अब चौ उनतीस की शेर का गुड़िया देगी निबंध पोशाहार की राशी चालू कराने के लिए सिदीपियों ने चालीस हजार रूपए मांगना था,0.6857142857142857,0.3314285714285714,मोबाइल वानी को बताया कि धिकंद्रा प्रखन अतको धानो मडिकेल संस्याब्शों उन्तीज की शेर का गुडिया ने भी तेबंद पोसाहार किराशिकालो पराने के लिए शिरीपियो ने टाले जारूपे मान ला था।,0.8,0.4114285714285714,-0.11428571428571432,,,,,,results/artpark_8khz_review_files/01_02-14479-01.mp3
2,01-04388-02,/content/CallWhisper-8k/datasets/GV_Dev_5h/Audio/01-04388-02.mp3,gramvaani_dev_100_8khz,मैं कमलकुट्टी पश्चिमी सिंहभुम झारखण्ड से,मैं कमारपुर पश्चिम झारखण्ड ऐसी,0.6666666666666666,0.45,मैं कमाचुर्पी पत्मितिम्बुं धारखन से,0.6666666666666666,0.45,0.0,,,,,,results/artpark_8khz_review_files/02_01-04388-02.mp3
3,01-04496-02,/content/CallWhisper-8k/datasets/GV_Dev_5h/Audio/01-04496-02.mp3,gramvaani_dev_100_8khz,सोची मसल दिखाया खूब अपने प्रतिद्वंदी को धुल चटा कर अखाड़ा जीत लिया सलमान ने प्रशंसकों ने खूब तारीफ़ की,बहुत ही मतलब दिखाया खूब सुनसान भी अपने प्रतिदिन्दी को छूल जटाकर अखाड़ा जीत लिया सलमानी प्रसंशकों ने खूब तारीख की,0.65,0.3137254901960784,,1.0,1.0,-0.35,,,,,,results/artpark_8khz_review_files/03_01-04496-02.mp3
4,01-03025-02,/content/CallWhisper-8k/datasets/GV_Dev_5h/Audio/01-03025-02.mp3,gramvaani_dev_100_8khz,ठंड का प्रकोप तेज़ होने की वजह से बाजार स्थित सिर्फ गर्म गर्म कपड़ो की स्थाई व अस्थाई दुकानों में गरम कपड़ो के बिक्री बिक्री में अचानक तेजी आ गयी है बाजार में लगे गरम कपड़ो के स्थाई अस्थाई दुकानों,का प्रकोप चेत बनी की वजह ऐसी वजह गर्म गर्म कपड़ों की स्थाई वहाँ स्थाई दुकानों में गर्म कपड़ों की बिक्री में बिक्री में अठाना किया गयी है बाजार में लगी गर्म कपड़ों की स्थाई और स्थाई दुकानों,0.575,0.28061224489795916,दुखान में लगी करम कपलों के अच्छा आप जो कर दो,0.975,0.8418367346938775,-0.4,,,,,,results/artpark_8khz_review_files/04_01-03025-02.mp3
5,01-01711-03,/content/CallWhisper-8k/datasets/GV_Dev_5h/Audio/01-01711-03.mp3,gramvaani_dev_100_8khz,इसी के साथ में अपने वक्तव को,इसी के साथ मैं अपनी बहत्ता लूँ को,0.5714285714285714,0.35714285714285715,इपनी के साथ मैं अपनी बवत तबु को,0.7142857142857143,0.32142857142857145,-0.1428571428571429,,,,,,results/artpark_8khz_review_files/05_01-01711-03.mp3
6,01-09354-02,/content/CallWhisper-8k/datasets/GV_Dev_5h/Audio/01-09354-02.mp3,gramvaani_dev_100_8khz,जन्मदिन पर पौधारोपण कर दिया भगत सिंह ने बोकारो के प्रगन में छायादार व फलादेश के पौधे लगाए यह प्रेरणा उनको उनके पिता आर सी गारी,जन्मदिन आरोप पौधा रोपण कर दिया भगत सिंह ने गोपाली की मंत्राह्यन में छायादार और खल्दा बीच के पौधे लगाए सिंह को यह रिना उनके पिता आर सी आई,0.5384615384615384,0.3412698412698413,जन्मदिन पर प्रधारुपन कर दिया भड़क चिंद्रे गोपाली की मंतुरायन में छायादार और खल्दा दिविष के पोधे लगाये इसको यह रिनाउन के पिता आर्थियाई का,0.7307692307692307,0.4603174603174603,-0.1923076923076923,,,,,,results/artpark_8khz_review_files/06_01-09354-02.mp3
7,01-04674-01,/content/CallWhisper-8k/datasets/GV_Dev_5h/Audio/01-04674-01.mp3,gramvaani_dev_100_8khz,नमस्कार मैं प्रमोद कुमार मोबाइल मीडिया रिपोर्टर हज़ारीबाग पदमा में आयोजित पीडीएस लाभार्थी व्यक्तियों ने पदमा प्रखंड के गारूपेड़ा सिमरतुहरा,नमस्कार मैं प्रमोद कुमार मोबाइल मीडिया रिपोर्टर हजारीबाग पद्मा में आयोगी पीडीएफ लाभ्याप्ति विचिंह पद्मा प्रखंड के गालपुरा सिमरपुरा,0.5,0.21014492753623187,नमस्तार मैं कर्मोत कुमार मोबाइल मेडिया रिपोर्टर हजारी बार पदमा में आयोगे पेटिया खिलाब्याप्ती विशी हैं पदमा परखंड केजार पूरा शीमर पूरा,0.75,0.34057971014492755,-0.25,,,,,,results/artpark_8khz_review_files/07_01-04674-01.mp3
8,02-19849-01,/content/CallWhisper-8k/datasets/GV_Dev_5h/Audio/02-19849-01.mp3,gramvaani_dev_100_8khz,नमस्कार मित्रों में रंजन स्वजना से,नमस्कार मित्रों मई रंजन सौजाना ऐसी,0.5,0.20588235294117646,नमस्कार मिचलो मेरा जनस वाजानाती,0.8333333333333334,0.4411764705882353,-0.33333333333333337,,,,,,results/artpark_8khz_review_files/08_02-19849-01.mp3
9,02-18228-01,/content/CallWhisper-8k/datasets/GV_Dev_5h/Audio/02-18228-01.mp3,gramvaani_dev_100_8khz,दो हज़ार उन्नीस के लिए भारतीय जनता पार्टी वार्षिक एलान हर बूथ पर होगा सेलफोन प्रमुख राजस्थान एम पी छत्तीसगढ़ मिजोरम के साथ होगा तेलंगाना में विधान सभा चुनाव,दो हजार उन्नीस के लिए भारतीय जनता पार्टी का वास्तव अभियान हर बुझ आरोप होगा सेल फोन प्रमुख राजस्थान एंट्री छत्तीसगढ़ निजीरम के साथ होगा चलेंगाना में विधान संवच्छना हो,0.4827586206896552,0.22435897435897437,2019 के लिए भाती जनता पार्टी का वास्तु का जान हर बूत पर होगा एक सेलफोन परमुख राजसान MP36 वा निजेडम के साथ होगा चलिंगाना में विदान तवच्छना है,0.6896551724137931,0.41025641025641024,-0.20689655172413796,,,,,,results/artpark_8khz_review_files/09_02-18228-01.mp3
10,01-11380-01,/content/CallWhisper-8k/datasets/GV_Dev_5h/Audio/01-11380-01.mp3,gramvaani_dev_100_8khz,वहीं जबकि बकरीद पर्व को देखते हुए प्रखंड के सभी इलाकों में बी डी ओ चिरंजीव पांडेय अंचलाधिकारी अखलेश कुमार सिन्हा थाना अध्यक्ष,वही जब की बकरीद वर्ग को देखते हुए प्रखंड के सभी इलाकों में विडियो चेंजिंग पांडे अंचला अधिकारी अखिलेश कुमार सिन्हा थाना अध्यक्ष,0.4782608695652174,0.16,वहीं जबकि बकरित बर्ग को ज़िखते हुए परखंड के सभी इलाकों में विद्यो चिंजिव पांडे अंतुला धिकारी अकलेश कुमार सिन्हा ठाना अधेस,0.5652173913043478,0.224,-0.08695652173913038,,,,,,results/artpark_8khz_review_files/10_01-11380-01.mp3
11,13-00246-02,/content/CallWhisper-8k/datasets/GV_Dev_5h/Audio/13-00246-02.mp3,gramvaani_dev_100_8khz,अपराधियों को आरोपित किया गया है घट घटना में साढ़े तीन लाख रूपए लूट का खुलासा किया गया है दर्ज प्राथमिकी में कहा गया है कि शुक्रवार की रात अवधेश कुमार समस्तीपुर की दूकान,अपराधियों प्रदूषित किया गया है घटना में सारे तीन लाख रूपए लूट का खुलासा किया गया है दलपाद इसमें कहा गया है की शुक्रवार,0.4411764705882353,0.375,अपरादियों पारोषित किया गया है घतना में सारे 3 रात लुखे लूट का खुड़ा सा किया गया है दल पात्मित में कहा गया है जिस शुक्रवार परात अवधेत परात समस्ती परिश्चित दुखाव,0.6176470588235294,0.32142857142857145,-0.17647058823529416,,,,,,results/artpark_8khz_review_files/11_13-00246-02.mp3
12,01-08044-01,/content/CallWhisper-8k/datasets/GV_Dev_5h/Audio/01-08044-01.mp3,gramvaani_dev_100_8khz,उनको आगे बढ़ने तथा स्वतंत्र रूप से लोग काम नहीं करने दिया क्यूँकी महिलायें जन प्रतिनिधि चाहती थी की विकास करें लेकिनसूत्र आदि,उसको आगे बढ़ने तथा स्वतंत्र रूप ऐसी लोग काम नहीं करने दिया क्यूँकी महिलाएँ जनप्रतिनिधि चाहती विकास करे लेकिन पुत्र आदि,0.43478260869565216,0.136,उसको आगे बढ़ने तथा स्वचंत्र रूप से लोग काम नहीं करने दिया ज्यादा कि महिलाएं जन पर्थिमर्थि मिदी चाती ती की विकास करें लेकिन पुत्र आदी,0.5217391304347826,0.208,-0.08695652173913043,,,,,,results/artpark_8khz_review_files/12_01-08044-01.mp3
13,01-02689-01,/content/CallWhisper-8k/datasets/GV_Dev_5h/Audio/01-02689-01.mp3,gramvaani_dev_100_8khz,ये संघ के जीतने भी सदस्य हैं,के जीतने भी सदस्य है,0.42857142857142855,0.2857142857142857,प्रतियसंते जितने रिश्चादत्य हैं,0.8571428571428571,0.6071428571428571,-0.42857142857142855,,,,,,results/artpark_8khz_review_files/13_01-02689-01.mp3
14,01-03237-02,/content/CallWhisper-8k/datasets/GV_Dev_5h/Audio/01-03237-02.mp3,gramvaani_dev_100_8khz,पीड़ित की सहायता करने वाला ही पुलिस की जायतियों का पहला शिकार होता है आज प्रत्यक्ष दर्शी एवं गवाहों के सुरक्षा के साथ पुलिस को भी अपना व्यवहार बदलाव होगा धन्यवाद,पुलिस की सहायता करने वाला ही पुलिस की जायजातियों का फसल शिकार होता आज प्रत्यक्ष पुलिस को भी अपना व्यवहार बदलना होगा धन्यवाद,0.3870967741935484,0.30434782608695654,पुलिस की सहायता करने वाला है पुलिस की जायचतियों का प्रश्ना शिकार होता है आज पर्चस रशियों वो गवाओं के वर्षत पुलिस को भी अपना वैभार बदलना होगा दन्दवाश,0.45161290322580644,0.2919254658385093,-0.06451612903225806,,,,,,results/artpark_8khz_review_files/14_01-03237-02.mp3
15,02-13674-02,/content/CallWhisper-8k/datasets/GV_Dev_5h/Audio/02-13674-02.mp3,gramvaani_dev_100_8khz,जमुई सदर प्रखंड में पन्द्रह सितम्बर को पोषण जागरूकता रैली छब्बीस सितम्बर को पोषण मेला का आयोजन किया जाना है उन्होंने ने तमाम उपस्थित जन प्रतिनिधियों पदाधिकारी तथा कर्मियों से अनुरोध करते हुए कहा कि,जमुई सदर प्रखंड ने पंद्रह सितम्बर को पोषण जागता रही ली तथा बीस सितम्बर को पोषण मेला का आयोजन किया जाना है उन्होंने तमाम उपस्थित जनप्रतिनिधि पदाधिकारी तथा कर्मियों सन्वेद करते हुए कहा की,0.37142857142857144,0.14720812182741116,जमूँ सदर प्रखने 15 सितंबर को पोषण जजिता रह ली तथा 20 सितंबर को पोषण मेला काइजन किया जाना है उन्होंने तमाम उपस्तेज़न परतिमीद्रित राधिकारी के तक पर्विनोशन वेट करते हुए कहा की,0.6571428571428571,0.3604060913705584,-0.2857142857142857,,,,,,results/artpark_8khz_review_files/15_02-13674-02.mp3
