utt_id,reason,audio,text,duration_s,detail
02-19383-01,duration_too_long,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/02-19383-01.mp3,किन्तु उन्ही के जयंती पर उन्हीं के पर चल कर अपनी मांगों के लिए सरकार से मिलने जा रही अन्नदाताओ को रोक कर उसपर आसू के गैस गोले तक दागे गए हैं बापू ने शायद इसीलिए अपना चोला उतारा था कि आम लोग उनसे बेहिचक मिल सके और अपनी बात रख सके लेकिन हमारी सरकार उनकी जयंती पर आदर्श की बाते तो खूब करती हैं पर उनकी आदर्श पर कितना चल रही हैं बताने की जरुरत नहीं हैं यदि वाकई में ये गाँधी जी के आदर्शों पर चलती तो आज हमारे किसानों को खेतो की वजाय सड़क पर आकर सरकार तक नहीं पहुचना पड़ता धन्यवाद,35.352,
01-03709-02,duration_too_long,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-03709-02.mp3,इतना सब होने के बढ़ भी सरकार कर अशोक चौधरी ने संविदा कर्मी को स्थायी करने की रिपोर्ट तैयार की लेकिन वह रिपोर्ट आज तक मुख्या मंत्री को नही सौंपी गयी सरकार के इस रवैय्ये ऐसी ऐसी संविदा कर्मी ने आक्रोश भी व्याप्त है स्थायी करने के नाम पर पिछले सालो ऐसी कभी तीन महीने कभी छेह महीनो ऐसी किया जा रहा है सरकार अवाम अधिकारियो की झोलमोल ऐसी रवैय्ये ऐसी बिहार में काम काज सही नही हो प्रकार रहा है मुख्या मंत्री ऐसी आग्रह एच की संविदा कर्मी की परेशानी देखते हुए उन्हें जल्द ऐसी जल्द स्थायी करने की कृपा करे धन्यवाद,43.848,
13-00346-01,duration_too_long,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/13-00346-01.mp3,पुलिस स्कीम की तलह को पुली का बाबा ने वालों की शिकायत बिना इज़ाज़त के काम करने आरोप सड़कों आरोप खून बहेगा और इसके आलावा परकर्मी एस ब्यूरो में भर्ती नहीं होने की बात कहीं गयी थी पहले भी ठेकेदारों को चेताया था बागी ठेकेदारों ने पुनः बिना इज़ाज़त के ही सड़कों का निर्माण काम करा रहा था नसबन्दियों के इलाके में पढ़ता हैं नसबन्दियों ने अपने इलाकों में काम नहीं करने का फरमान पहले ऐसी जारी किया था धन्यवाद मोबाइल वाणी न्यूज़ ऐसी,32.328,
02-20338-01,duration_too_long,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/02-20338-01.mp3,में माननीय प्रधानमंत्री रक्षामंत्री और मुख्यमंत्री जी ऐसी आग्रह करते है की पत्रकार आरोप हो रहे अत्याचार हत्या को अविलम्ब दुरुस्त करें और उसका कठोर कारवाई कर के लिए जनप्रतिनिधि जैसी सुख सुविधा सुरक्षा प्रदान करें ताकि हमारे देश में समाज में एवम आज पत्रकार की महानता को बाढ़ सके और पराकाष्टा का महत्वा को आगे की और बढ़ने में कोई कसर न छोडें धन्यवाद संजीत कुमार जमुआ मोबाइलवाणी ऐसी आज बिहार में अपराधी निर्दोष है आज सरकार इसलिए मौन धारन किए हुए है आज सरकार पत्रकार की जिस तरह ऐसी हत्या हो रही है यह ऐसी खुले आम साबित होता है की बिहार में फिर ऐसी जंगल राम राज कायम हो गया है जो आज विकास की उजागर करने वाली पत्रकार मीडिया होती है आज उन्हें,53.424,
01-07615-03,duration_too_long,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-07615-03.mp3,गीता के अनुसार जहाँ जिस काम ही करने करते हो उन्नति करते मस्तक इस दिन एक दूजे ऐसी मिलते हो गीता के अनुसार जहाँ जिस काम ही करने करते हो उन्नति करते मस्तक इस दिन एक दूजे ऐसी मिलते हो ऊँच चिमनी और जाती पाती का ऊँच चिमनी और जाती पाती का हो न कोई अभिषेक प्रभु हो ऐसा भारत देश प्रभु हो ऐसा भारत देश प्रभु हो ऐसा भारत देश प्रभु हो ऐसा भारत देश सालो में बिना भेद के सालो में बिना भेद के ज्ञान कभी पा सकती हूँ अपनी क्षमता विकसित करके ऊँचे पद पा सकती हूँ सालो में बिना भेद के सालो में बिना भेद के ज्ञान कभी पा सकती हूँ अपनी क्षमता विकसित करके ऊँचे पद जा सकती हूँ इतना मिले इसी धरती आरोप इतना मिले इसी धरती आरोप जाए न कोई विदेश प्रभु हो ऐसा भारत देश प्रभु हो ऐसा भारत देश प्रभु हो ऐसा भारत देश प्रभु हो ऐसा भारत देश मानवता में ईश्वर को देखी मानवता सत्कर्म जानकी करे सदा मानव की सेवा मानव मानव धर्म मनके मानवता में ईश्वर देखी मानवता सत्कर्म जानकी करे सदा मानव की सेवा मानव मानव धर्म मनके मानव के वो परम धर्म है मानव के वो परम धर्म है हर दम कुछ सन्देश प्रभु हो ऐसा भारत देश प्रभु हो ऐसा भारत देश,141.048,
01-02591-01,duration_too_long,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-02591-01.mp3,रमेश खौप ने बाजार में उमा शंकर की दुकान में मारी की बचत पाया गया मालूम हुआ की होटल स्टाफ को प्रत्येक मास किलो लिटर केरोसिन मिलता हैं जो प्रत्येक बाजार में का निर्देश लेकिन महीने में बीस लीटर ऐसी बहा हुआ,33.912,
01-06784-03,duration_too_long,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-06784-03.mp3,मैं दिलीप पांडे मोबाइलवाणी ऐसी बिहार सरकार निकम्मी साबित होती जा रही है जिस तरह ऐसी हमारे बिहार के गरीब परिवार अवाम बेरोजगार युवा कर रही है इनसे आने वाली पीढ़ी को वही परेशानियां झेलनी पड़ेगी जो आगे झेलते हुए आ रहे है युवाओं के प्रति आज सरकार की नज़र नहीं है केवल वोट के लिए सरकार की नज़र रहती है जिस तरह सरकार वोट बैंक के लिए वोट के लिए घर घर घुसती है तो वोट के लिए किस तरह घर घर घुसते है,34.776,
01-07020-01,duration_too_long,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-07020-01.mp3,नमस्कार मधुबनी मोबाइल वाणी के लिए मैं मधवापुर से राज किशोर यादव जब से बिहार में छात्र छात्राओं को छात्रवृति पोषाक खाते में आने की घोषणा की है तब से मधवापुर प्रखंड में कई स्कूलों के बच्चों को लाभ नहीं मिल पाया है छात्र छात्राओं कभी स्कूल के हेडमास्टर को कहते है तो मास्टर साहब बच्चों को खाता में चेक करने के लिए कहा जाता है जब बच्चा अपना पासबुक बैंक में लेकर जाते है तो पासबुक में रुपया नहीं रहता है बच्चों निराश होकर घर लौट जाते है बराबर बैंक का चक्कर लगाना पड़ता है इसके कारण बहुत बच्चों सरकारी स्कूल छोड़ कर प्राइवेट स्कूल में ही पढ़ाई कर रहे है धन्यवाद मधवापुर से राज किशोर यादव,49.464,
01-05492-03,duration_too_long,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/01-05492-03.mp3,नाचे बिंदिया तो हि मिला चमक दो नैनन की नाचे बिंदिया तो हि मिला चमक दोनो नैनन की नाचे लगाओ जा मईया नैनन की,33.552,
02-20733-01,duration_too_long,/kaggle/working/CallWhisper-8k/datasets/GV_Train_100h/Audio/02-20733-01.mp3,में बैठ कर हमको सारा बात बताया गया मेरे सीनियर भी आये हुए थे उसी समय हमने सोच लिया की ये सामाजिक काम है और इसमें काम करने के लिए में खूब अच्छा ऐसी अग्री हो गया फिर धीरे धीरे काम करते करते इन लोगो का बैंक ऐसी जुड़ा दिया जीवका ऐसी तो जुड़ा हुआ ही थी और बैंक ऐसी भी लोन वगैरह दिलाकर इनलोगों का परेशानी दूर किए और आज तक अच्छा ऐसी चला रही है और हम भी अच्छे ऐसी है इनलोग के साथ हम खुश है दिल्ली प्रयास पहले कमाते थे लेकिन में आज परिवार के साथ इनलोग के साथ खुश हूँ क्या लगता है,30.459,
